TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596304123636613120,'1166444196208635904,BoatfaceBoatymc,'1524443973317758978,PelicansFan232,'1596269469298741248,replied_to,stillgray,'16106584,False
'1596304123636613120,'1166444196208635904,BoatfaceBoatymc,'1524443973317758978,PelicansFan232,'1596269469298741248,replied_to,JackPosobiec,'592730371,False
'1596304123636613120,'1166444196208635904,BoatfaceBoatymc,'1524443973317758978,PelicansFan232,'1596269469298741248,replied_to,elonmusk,'44196397,False
'1596304123636613120,'1166444196208635904,BoatfaceBoatymc,'1524443973317758978,PelicansFan232,'1596269469298741248,replied_to,FBI,'17629860,False
'1596304123422736384,'25846216,Raider123,'973018547306881024,ZwitterelfZana,'1596289917100781568,replied_to,ZwitterelfZana,'973018547306881024,False
'1596304123422736384,'25846216,Raider123,'973018547306881024,ZwitterelfZana,'1596289917100781568,replied_to,TomFitton,'18266688,False
'1596304123422736384,'25846216,Raider123,'973018547306881024,ZwitterelfZana,'1596289917100781568,replied_to,elonmusk,'44196397,False
'1596304123422736384,'25846216,Raider123,'973018547306881024,ZwitterelfZana,'1596289917100781568,replied_to,stillgray,'16106584,False
'1596304122470621185,'1586180233778302977,OGMagaBeliever,'18266688,TomFitton,'1596284740394704897,replied_to,TomFitton,'18266688,False
'1596304122470621185,'1586180233778302977,OGMagaBeliever,'18266688,TomFitton,'1596284740394704897,replied_to,elonmusk,'44196397,False
'1596304122470621185,'1586180233778302977,OGMagaBeliever,'18266688,TomFitton,'1596284740394704897,replied_to,stillgray,'16106584,False
'1596304121983746049,'925720058,mathiaswhite,'932786452739407872,CultureCrave,'1596253903641022464,replied_to,CultureCrave,'932786452739407872,False
'1596304121983746049,'925720058,mathiaswhite,'932786452739407872,CultureCrave,'1596253903641022464,replied_to,FloydGomezJr,'805149845984002049,False
'1596304121983746049,'925720058,mathiaswhite,'932786452739407872,CultureCrave,'1596253903641022464,replied_to,elonmusk,'44196397,False
'1596304121896009729,'1585689880792743937,lukdee83,'44196397,elonmusk,'1596072934665240576,replied_to,elonmusk,'44196397,False
'1596304121514328065,'1595228995670446080,DanMan757,'91882544,DineshDSouza,'1596274849940443137,replied_to,DineshDSouza,'91882544,False
'1596304121514328065,'1595228995670446080,DanMan757,'91882544,DineshDSouza,'1596274849940443137,replied_to,elonmusk,'44196397,False
'1596304121438822402,'1103343511171198976,chopper_mutton,'2472399354,Sargon_of_Akkad,'1596153148170805248,replied_to,Sargon_of_Akkad,'2472399354,False
'1596304121438822402,'1103343511171198976,chopper_mutton,'2472399354,Sargon_of_Akkad,'1596153148170805248,replied_to,elonmusk,'44196397,False
'1596304121405005825,'2541069822,malikali457,'212881995,ObliviousReaper,'1596300752749989889,replied_to,ObliviousReaper,'212881995,False
'1596304121405005825,'2541069822,malikali457,'212881995,ObliviousReaper,'1596300752749989889,replied_to,elonmusk,'44196397,False
'1596304121405005825,'2541069822,malikali457,'212881995,ObliviousReaper,'1596300752749989889,replied_to,stillgray,'16106584,False
'1596304121220329472,'1588640249239855104,sunny1hawk,'44196397,elonmusk,'1596268060499120128,replied_to,elonmusk,'44196397,False
'1596304121220329472,'1588640249239855104,sunny1hawk,'44196397,elonmusk,'1596268060499120128,replied_to,stillgray,'16106584,False
'1596304120645722114,'1594358205261430787,Rich9991135,'931286316,ScottPresler,'1596272734396375042,replied_to,ScottPresler,'931286316,False
'1596304120645722114,'1594358205261430787,Rich9991135,'931286316,ScottPresler,'1596272734396375042,replied_to,elonmusk,'44196397,False
'1596304120620646400,'1510694106221228040,LessTparlerson,'1445063766694105092,anabucketlist,'1596303772153692161,replied_to,anabucketlist,'1445063766694105092,False
