TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,TheEllenShow,'15846407,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,KimKardashian,'25365536,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,selenagomez,'23375688,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,ajt,'199399558,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,process_grey,'1449051621497974793,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,betty_nft,'1418431052704411653,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,3ESIGN,'1588984508589740034,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,UremmaI,'1171886007219818499,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,g_weakli,'1533480244690276352,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,wirelyss,'887814866,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,jonmacapodi,'181834481,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,ForeverFrensU_U,'1569457324921692161,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,allsee,'1478217215610654721,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,kingkong45_eth,'1430699654392336386,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,JonsimsEth,'459897428,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,curator1of1,'1471215874417831949,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,worldofumans,'342207356,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,NFTMentis,'1430054078147485709,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,lowlylabs,'1492350267018588160,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,TocoDeco,'1437264400910532609,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,aslanruby,'1450228146855235588,FALSE
'1596293257729691648,'1421229847557197826,amzblb,'1262084422867791872,mansswg,'1596231184685887488,replied_to,mansswg,'1262084422867791872,FALSE
'1596293257729691648,'1421229847557197826,amzblb,'1262084422867791872,mansswg,'1596231184685887488,replied_to,justinbieber,'27260086,FALSE
'1596290858667896832,'2718062936,imwet4biebs,'1367968961615298561,Lucinthemiddle,'1596281209310437377,replied_to,Lucinthemiddle,'1367968961615298561,FALSE
'1596290858667896832,'2718062936,imwet4biebs,'1367968961615298561,Lucinthemiddle,'1596281209310437377,replied_to,justinbieber,'27260086,FALSE
TweetID,AuthorID,AuthorName,InReplyToUserID,InReplyToUsername,ReferencedTweetID,ReferencedTweetType,MentionsUsername,MentionsID,Verified
'1596298739429228544,'1563221141862248448,peepers4life,'1437223768087224320,KerriMaybeColby,'1596184667044343808,replied_to,KerriMaybeColby,'1437223768087224320,FALSE
'1596298739429228544,'1563221141862248448,peepers4life,'1437223768087224320,KerriMaybeColby,'1596184667044343808,replied_to,Dheerajv0704,'1499420026830737409,FALSE
'1596298739429228544,'1563221141862248448,peepers4life,'1437223768087224320,KerriMaybeColby,'1596184667044343808,replied_to,ThePopTingz,'1359293410847383558,FALSE
'1596298739429228544,'1563221141862248448,peepers4life,'1437223768087224320,KerriMaybeColby,'1596184667044343808,replied_to,katyperry,'21447363,FALSE
'1596298739429228544,'1563221141862248448,peepers4life,'1437223768087224320,KerriMaybeColby,'1596184667044343808,replied_to,DUALIPA,'154101116,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,Kenneth05573211,'1543643848437403648,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,HayesHolly2,'1313550342399889408,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,JaredLeto,'27711339,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,jarpad,'310687757,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,elonmusk,'44196397,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,Oprah,'19397785,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,chrishemsworth,'3063032281,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,marcuslemonis,'27801361,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,blakeshelton,'14920785,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,VancityReynolds,'2893511188,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,blakelively,'2678072634,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,levarburton,'18396070,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,katyperry,'21447363,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,taylorswift13,'17919972,FALSE
'1596298727765192704,'335498063,angiebabin,'1543643848437403648,Kenneth05573211,'1596295849541136384,replied_to,KimKardashian,'25365536,FALSE
'1596297762672644096,'1485307894941822979,nickiperry56,'1538242313721364484,perryssaince1,'1596263430692147200,replied_to,perryssaince1,'1538242313721364484,FALSE
'1596297762672644096,'1485307894941822979,nickiperry56,'1538242313721364484,perryssaince1,'1596263430692147200,replied_to,katyperry,'21447363,FALSE
'1596297409776476160,'1582059453670723587,the_GianTMember,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596296067590471680,'208238634,danhlee,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596295099452792832,'1142920735725412357,TKamuraga,'1277635344125566978,UnderZeGround,'1595876042887270400,replied_to,UnderZeGround,'1277635344125566978,FALSE
'1596295099452792832,'1142920735725412357,TKamuraga,'1277635344125566978,UnderZeGround,'1595876042887270400,replied_to,katyperry,'21447363,FALSE
'1596293910183448576,'1596218970461573120,lucingstar,'4060440502,maks_lipa,'1596169485685178368,replied_to,maks_lipa,'4060440502,FALSE
'1596293910183448576,'1596218970461573120,lucingstar,'4060440502,maks_lipa,'1596169485685178368,replied_to,zonutsrule,'1559995540154318848,FALSE
'1596293910183448576,'1596218970461573120,lucingstar,'4060440502,maks_lipa,'1596169485685178368,replied_to,PopCrave,'4429003533,FALSE
'1596293910183448576,'1596218970461573120,lucingstar,'4060440502,maks_lipa,'1596169485685178368,replied_to,katyperry,'21447363,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,ShiLLin_ViLLian,'1064982684060057606,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,BarackObama,'813286,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,realDonaldTrump,'25073877,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,elonmusk,'44196397,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,justinbieber,'27260086,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,katyperry,'21447363,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,rihanna,'79293791,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,Cristiano,'155659213,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,narendramodi,'18839785,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,TheEllenShow,'15846407,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,KimKardashian,'25365536,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,selenagomez,'23375688,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,ajt,'199399558,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,process_grey,'1449051621497974793,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,betty_nft,'1418431052704411653,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,3ESIGN,'1588984508589740034,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,UremmaI,'1171886007219818499,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,g_weakli,'1533480244690276352,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,wirelyss,'887814866,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,jonmacapodi,'181834481,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,ForeverFrensU_U,'1569457324921692161,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,allsee,'1478217215610654721,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,kingkong45_eth,'1430699654392336386,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,JonsimsEth,'459897428,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,curator1of1,'1471215874417831949,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,worldofumans,'342207356,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,NFTMentis,'1430054078147485709,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,lowlylabs,'1492350267018588160,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,TocoDeco,'1437264400910532609,FALSE
'1596293502463225857,'1406990690,Frienr,'1064982684060057606,ShiLLin_ViLLian,'1596245683434323969,replied_to,aslanruby,'1450228146855235588,FALSE
'1596293455734779904,'788481282607091712,LaOBHk,'1538242313721364484,perryssaince1,'1595877767035371521,replied_to,perryssaince1,'1538242313721364484,FALSE
'1596293455734779904,'788481282607091712,LaOBHk,'1538242313721364484,perryssaince1,'1595877767035371521,replied_to,katyperry,'21447363,FALSE
'1596291853259005952,'1570754430185902080,chuuisinmywalls,'4429003533,PopCrave,'1596169319699783680,replied_to,PopCrave,'4429003533,FALSE
'1596291853259005952,'1570754430185902080,chuuisinmywalls,'4429003533,PopCrave,'1596169319699783680,replied_to,katyperry,'21447363,FALSE
'1596290094578618368,'1462859142507360259,j1_0100,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596289812952383488,'2196728606,arc2015,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596289664398331905,'1535344797631844354,sr_vasconceloss,'833626746,katylavcat,'1595933069772754944,replied_to,katylavcat,'833626746,FALSE
'1596289664398331905,'1535344797631844354,sr_vasconceloss,'833626746,katylavcat,'1595933069772754944,replied_to,katyperry,'21447363,FALSE
'1596289541735735296,'1344064950302552068,Witness4lifebby,'1538242313721364484,perryssaince1,'1596263430692147200,replied_to,perryssaince1,'1538242313721364484,FALSE
'1596289541735735296,'1344064950302552068,Witness4lifebby,'1538242313721364484,perryssaince1,'1596263430692147200,replied_to,katyperry,'21447363,FALSE
'1596289317856776193,'1575982294837432337,Cowgirlperryy,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596287781210161152,'1566764086683226114,ipokemyself123,'21447363,katyperry,'1596028392352014336,replied_to,katyperry,'21447363,FALSE
'1596287609156034560,'1395470704318029826,yduyucare,'4429003533,PopCrave,'1596169319699783680,replied_to,PopCrave,'4429003533,FALSE
'1596287609156034560,'1395470704318029826,yduyucare,'4429003533,PopCrave,'1596169319699783680,replied_to,katyperry,'21447363,FALSE
'1596287026344640512,'1480259498501677062,IanGebel,'798620985620566016,criterionchannl,'1596226006960214016,replied_to,criterionchannl,'798620985620566016,FALSE
'1596287026344640512,'1480259498501677062,IanGebel,'798620985620566016,criterionchannl,'1596226006960214016,replied_to,katyperry,'21447363,FALSE
'1596285917714468864,'3444869952,AwBlessYerHeart,'249115282,MiaMarieMacy,'1596047132402003974,replied_to,MiaMarieMacy,'249115282,FALSE
'1596285917714468864,'3444869952,AwBlessYerHeart,'249115282,MiaMarieMacy,'1596047132402003974,replied_to,katyperry,'21447363,FALSE
'1596285719558819841,'3444869952,AwBlessYerHeart,'1067906643738968064,MillennialEdit1,'1596274160275447808,replied_to,MillennialEdit1,'1067906643738968064,FALSE
'1596285719558819841,'3444869952,AwBlessYerHeart,'1067906643738968064,MillennialEdit1,'1596274160275447808,replied_to,katyperry,'21447363,FALSE
'1596285519738339329,'3444869952,AwBlessYerHeart,'21447363,katyperry,'1596166823606722562,quoted,katyperry,'21447363,FALSE
'1596285394341007361,'1039332159713103873,alanburtonsuess,'21447363,katyperry,'1596219187055173637,quoted,katyperry,'21447363,FALSE
'1596284773655531520,'1594425089071624193,trinigyalangel,'1146833460977422336,chrisgarridoe,'1596284412814970881,replied_to,chrisgarridoe,'1146833460977422336,FALSE
'1596284773655531520,'1594425089071624193,trinigyalangel,'1146833460977422336,chrisgarridoe,'1596284412814970881,replied_to,ThePopTingz,'1359293410847383558,FALSE
'1596284773655531520,'1594425089071624193,trinigyalangel,'1146833460977422336,chrisgarridoe,'1596284412814970881,replied_to,katyperry,'21447363,FALSE
'1596284773655531520,'1594425089071624193,trinigyalangel,'1146833460977422336,chrisgarridoe,'1596284412814970881,replied_to,DUALIPA,'154101116,FALSE
'1596284412814970881,'1146833460977422336,chrisgarridoe,'1594425089071624193,trinigyalangel,'1596249864224100362,replied_to,trinigyalangel,'1594425089071624193,FALSE
'1596284412814970881,'1146833460977422336,chrisgarridoe,'1594425089071624193,trinigyalangel,'1596249864224100362,replied_to,ThePopTingz,'1359293410847383558,FALSE
'1596284412814970881,'1146833460977422336,chrisgarridoe,'1594425089071624193,trinigyalangel,'1596249864224100362,replied_to,katyperry,'21447363,FALSE
