Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,4741,1,40829,43650,8649,834,30,1,0,2,0,1,1,5
1,4,1956,0,105885,454,920,8,20,1,1,1,1,0,75,0
1,4,3953,0,49746,2281,4586,55,19,1,1,0,1,0,179,0
1,4,4198,0,241706,1550,3007,19,20,1,1,1,1,0,328,0
1,4,100,0,41,0,6,0,18,0,1,1,1,0,1027,0
1,4,1295,0,19872,1147,1857,11,18,0,1,1,1,0,195,0
1,4,2478,0,6027,105,1126,0,18,0,1,1,1,0,1027,0
1,4,678,0,5983,36,82,0,20,1,1,1,1,0,75,0
1,4,1242,1,151944,47691,16842,223,25,0,1,0,1,0,51,0
1,4,62,0,698,2,27,0,19,0,1,3,1,0,1111,0
1,4,1423,0,80224,9,158,0,7,1,1,1,1,0,168,0
1,4,3484,0,130694,1455,1714,5,12,0,1,1,1,1,19,0
1,4,183,0,3450,26,72,0,12,0,1,2,2,0,300,0
1,4,678,0,5983,36,82,0,20,1,1,1,1,0,268,0
1,4,3304,0,3989,147,1068,1,18,0,1,1,1,0,1027,0
1,4,878,0,26692,104,63,1,22,0,1,2,1,0,15,0
1,4,169,0,197,1,17,0,22,1,1,0,1,0,1282,0
1,4,66,0,12120,93,110,1,20,0,1,1,1,0,5,0
1,4,2055,0,7966,65,642,0,18,0,1,1,1,0,195,0
1,4,4025,0,377785,247,114,7,7,1,1,1,1,0,168,0
1,4,1956,0,105885,454,920,8,18,0,1,1,1,0,195,0
1,4,1241,0,31343,753,3410,2,21,1,1,1,1,0,11472,0
1,4,4970,0,158182,3079,3894,19,28,0.333,1,0,1,0,351,0
1,4,4191,0,128297,44542,6773,88,40,0,0,4,1,1,0,0
1,4,4551,0,26600,67,97,1,18,0,1,1,1,0,1027,0
1,4,782,0,673,25,595,5,18,1,1,1,1,0,156,0
1,4,678,0,5983,36,82,0,19,-1,1,1,1,0,10,0
1,4,373,0,39056,341,19,1,19,-1,1,1,1,0,10,0
1,4,852,0,34,7,180,0,20,1,1,1,1,0,328,0
1,4,3437,0,28096,444,686,4,19,-1,1,1,1,0,10,0
1,4,4915,0,147686,623,644,35,15,1,1,3,1,0,4,0
1,4,900,0,18515,701,880,4,19,0,1,3,1,0,1111,0
1,4,548,0,82840,572,741,0,21,0,1,0,1,0,8,0
1,4,1247,0,20756,81,14,5,26,0,0,1,1,1,0,0
1,4,2516,0,440617,3243,8,41,18,1,1,0,1,0,2,0
1,4,2918,0,179366,734,30,32,19,1,1,1,1,0,263,0
1,4,2918,0,179366,734,30,32,18,0,1,1,1,0,1027,0
1,4,4816,0,478762,1939,4997,127,19,-1,1,1,1,0,10,0
1,4,4217,0,14515,582,1355,8,18,0,1,1,1,0,1027,0
1,4,642,0,159546,2069,7,13,18,1,1,0,1,0,2,0
1,4,1526,0,205431,508,4366,4,15,1,1,3,1,0,4,0
1,4,2577,0,4687,229,60,0,20,1,1,0,1,0,57,0
1,4,2055,0,54361,477,1342,3,19,0,1,3,1,0,1111,0
1,4,484,0,38888,10,85,0,7,0,1,0,2,0,534,0
1,4,1450,0,46640,394,732,0,9,1,1,1,1,0,3194,0
