Twitter User Duration,Verified User,User Tweet Count,User Followers,Community
14,0,1,0,7
936,0,1970,6,7
80,0,1191,135,7
90,0,2194,185,7
904,0,5453,4821,7
58,0,1787,420,7
449,0,1870,107,7
1690,0,7945,19480,7
631,0,2283,23,7
9,0,230,19,7
2722,0,4794,175,7
430,0,103,11,7
856,0,3738,1427,7
2474,0,55,15,7
5008,1,36123,74379234,8
4161,0,1562,89,8
154,0,7223,1040,8
789,0,16708,10074,8
4997,1,29836,4176614,8
4201,1,4204,2952353,8
5063,1,13655,43063181,8
2831,1,613,8456732,8
4996,1,42617,636088,8
5304,1,13184,19728308,8
2930,1,3283,20857343,8
3055,1,108,1479178,8
5091,1,19136,2188637,8
9,0,331,0,8
3205,1,5104,3399898,8
4975,1,17356,100911,8
4992,1,8282,31546684,8
4982,1,22,15685183,8
2764,0,8,322,8
3410,0,83636,2558,8
3847,1,323430,118451,8
5366,1,18498,6042982,8
2518,1,7111,167132,8
974,0,10387,109805,8
5174,1,62989,5623538,8
2915,1,7598,5587215,8
3275,1,3853,1016380,8
4968,1,37557,5747722,8
5148,1,11013,2170302,8
1105,1,292,108970,8
3954,1,987,16330,8
761,1,4856,8239272,8
2196,1,8099,13833884,8
5275,1,6259,2598540,8
5464,1,69184,67728388,8
5035,1,56578,1553251,8
5022,1,7595,654154,8
4933,1,21028,119987427,9
24,0,1142,78,9
578,0,9132,37315,9
4679,0,1906,88,9
1255,0,7847,70,9
2095,0,60609,1138,9
1100,1,91938,996808,9
1169,0,9190,288,9
290,0,302,19,9
4559,0,17876,189,9
2232,0,14000,1216068,9
4977,0,27801,746230,9
181,0,1,0,9
2236,0,4176,243,9
1361,0,265,11,9
4068,1,3254,9726,9
23,0,116,2,9
2594,0,2516,10,9
280,0,171,2,9
682,0,2618,80,9
1541,0,33724,52554,9
5317,1,14547,334480,9
5058,1,31022,341225,9
3607,0,38009,1192,9
222,0,1575,22,9
4986,0,3556,75,9
4343,1,99376,3426780,9
4760,1,102336,2863828,9
3053,0,1105,97,9
5004,0,26543,11367,9
1430,0,859,20,9
4103,0,9142,5234,9
699,0,1879,120,9
3798,0,745,154,9
5083,1,11198,1500158,9
4894,0,1801,69,9
4366,0,8372,21533,9
3952,0,4990,1743,9
232,0,605,2,9
